blank,,blank2,,blank3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
737.0072021,-0.01073668431,737.0072021,-0.01098031551,737.0072021,-0.0109505821,
736.0091553,-0.01123082358,736.0091553,-0.01107238047,736.0091553,-0.01130180061,
735.0108032,-0.0119906459,735.0108032,-0.01201406308,735.0108032,-0.01213939022,
734.012085,-0.01232884638,734.012085,-0.01238963194,734.012085,-0.0123704616,
733.0130615,-0.01288712211,733.0130615,-0.01320900675,733.0130615,-0.01312246732,
732.0136719,-0.01351344027,732.0136719,-0.01357591711,732.0136719,-0.01355168037,
731.013916,-0.01413489878,731.013916,-0.01422930323,731.013916,-0.01423992496,
730.0137939,-0.01472273935,730.0137939,-0.01456496492,730.0137939,-0.01449862402,
729.0133057,-0.01528749429,729.0133057,-0.01507612225,729.0133057,-0.01498845313,
728.0125732,-0.01529519167,728.0125732,-0.0152645018,728.0125732,-0.01518217102,
727.0114746,-0.01570683345,727.0114746,-0.01585980132,727.0114746,-0.01569944434,
726.0100098,-0.01579350978,726.0100098,-0.01568995602,726.0100098,-0.01573389769,
725.0081787,-0.0161632821,725.0081787,-0.01595727541,725.0081787,-0.01590597071,
724.0060425,-0.01632132381,724.0060425,-0.01630392112,724.0060425,-0.01600962132,
723.00354,-0.01595617831,723.00354,-0.01609718427,723.00354,-0.01617141254,
722.0007935,-0.01632371731,722.0007935,-0.01635049284,722.0007935,-0.01610890776,
720.9975586,-0.01593396999,720.9975586,-0.01593232341,720.9975586,-0.01589204557,
719.9940186,-0.01586229727,719.9940186,-0.01580973342,719.9940186,-0.01578027941,
718.9901733,-0.01567777246,718.9901733,-0.0155310845,718.9901733,-0.0157261584,
717.9859009,-0.01531243417,717.9859009,-0.01502831373,717.9859009,-0.01526690181,
717.017334,-0.01511982456,717.017334,-0.01497744955,717.017334,-0.01494443789,
716.0124512,-0.01439746656,716.0124512,-0.01449231524,716.0124512,-0.01460471377,
715.0072632,-0.01414326765,715.0072632,-0.01417979784,715.0072632,-0.01421166677,
714.00177,-0.01359287743,714.00177,-0.01349406876,714.00177,-0.01347012818,
712.9958496,-0.01251947787,712.9958496,-0.01263419911,712.9958496,-0.01264375355,
711.989624,-0.01239355654,711.989624,-0.01207932457,711.989624,-0.01218434516,
710.9831543,-0.01152363885,710.9831543,-0.01118511334,710.9831543,-0.01145199127,
710.012207,-0.0110522937,710.012207,-0.01111204736,710.012207,-0.01083460823,
709.0049438,-0.009862982668,709.0049438,-0.009801335633,709.0049438,-0.01021285634,
707.9973755,-0.009470936842,707.9973755,-0.009232690558,707.9973755,-0.009651838802,
706.989563,-0.008767019957,706.989563,-0.008321876638,706.989563,-0.008608791977,
706.017395,-0.007294667419,706.017395,-0.007597982418,706.017395,-0.007639799267,
705.0088501,-0.006875529885,705.0088501,-0.006794956513,705.0088501,-0.007010957226,
704,-0.006301712245,704,-0.00614248123,704,-0.00602266239,
702.9907837,-0.005427111406,702.9907837,-0.005343660712,702.9907837,-0.005452317186,
702.017334,-0.004673480988,702.017334,-0.004849993158,702.017334,-0.00467353221,
701.0074463,-0.003348300699,701.0074463,-0.00355919241,701.0074463,-0.00363179436,
699.9973145,-0.002761878073,699.9973145,-0.002662580227,699.9973145,-0.002810078207,
698.9868164,-0.00244847266,698.9868164,-0.002659904538,698.9868164,-0.002669166541,
698.012085,-0.001715539023,698.012085,-0.001682431204,698.012085,-0.001624976518,
697.0009155,-0.0007034247974,697.0009155,-0.000865746988,697.0009155,-0.0006881765439,
695.9894409,-0.0001257358381,695.9894409,4.481092401E-005,695.9894409,-0.0001194731958,
695.0137939,0.0007760035223,695.0137939,0.0008280785987,695.0137939,0.0004238824476,
694.0016479,0.001385398209,694.0016479,0.001889846986,694.0016479,0.001663377974,
692.9891968,0.001869074302,692.9891968,0.002060432918,692.9891968,0.001914182561,
692.0125732,0.002510649152,692.0125732,0.002658689395,692.0125732,0.002426430816,
690.9995117,0.003008952364,690.9995117,0.003149966011,690.9995117,0.003169157077,
689.986084,0.003676858032,689.986084,0.003924074583,689.986084,0.003780041356,
689.0085449,0.004378267564,689.0085449,0.004118117969,689.0085449,0.00387891382,
687.9944458,0.00463828491,687.9944458,0.004671645351,687.9944458,0.005055878777,
687.0162964,0.005216788035,687.0162964,0.005221582484,687.0162964,0.00544768665,
686.0015869,0.005507403519,686.0015869,0.005753880832,686.0015869,0.005705723073,
684.9865723,0.005748109892,684.9865723,0.00610139966,684.9865723,0.005914235488,
684.0074463,0.00680634426,684.0074463,0.006859726273,684.0074463,0.006564735435,
682.9918823,0.007489943411,682.9918823,0.007323609199,682.9918823,0.007253455464,
682.012146,0.007232372183,682.012146,0.007370261475,682.012146,0.007478803396,
680.9958496,0.008224081248,680.9958496,0.007744848263,680.9958496,0.007987166755,
680.015625,0.007923364639,680.015625,0.00815365091,680.015625,0.007852824405,
678.9985962,0.008234818466,678.9985962,0.008385324851,678.9985962,0.008233367465,
678.0177612,0.00879557617,678.0177612,0.008903708309,678.0177612,0.008631698787,
677.0001221,0.009361845441,677.0001221,0.009064754471,677.0001221,0.009118467569,
675.9822998,0.009452420287,675.9822998,0.00963984523,675.9822998,0.00944890175,
675.0004883,0.009801879525,675.0004883,0.01005557552,675.0004883,0.009831005707,
673.9819946,0.009998779744,673.9819946,0.01018972695,673.9819946,0.009939501993,
672.9995728,0.01028166711,672.9995728,0.01031668298,672.9995728,0.01036442723,
672.0168457,0.01085019764,672.0168457,0.01105312351,672.0168457,0.01096409932,
670.9974365,0.0111499466,670.9974365,0.01095422357,670.9974365,0.01117377169,
670.0140991,0.0114960447,670.0140991,0.01132033113,670.0140991,0.01146962494,
668.9940796,0.0115150502,668.9940796,0.01138059516,668.9940796,0.01170379296,
668.0101318,0.01128502097,668.0101318,0.01127928309,668.0101318,0.01133595407,
666.9894409,0.01101650763,666.9894409,0.0111780744,666.9894409,0.01135970838,
666.0049438,0.01084465068,666.0049438,0.0108744828,666.0049438,0.0107939085,
664.9836426,0.01106477994,664.9836426,0.01060725749,664.9836426,0.01083135419,
663.9985962,0.01085407287,663.9985962,0.01085985824,663.9985962,0.0108890282,
663.0131836,0.01107529551,663.0131836,0.01083490998,663.0131836,0.0111268945,
661.9909058,0.01095584314,661.9909058,0.01088448986,661.9909058,0.01085529383,
661.0050049,0.01106793992,661.0050049,0.01066182461,661.0050049,0.01063670218,
659.9821777,0.01053023338,659.9821777,0.01067721192,659.9821777,0.01055601239,
658.9955444,0.0107250493,658.9955444,0.01061656792,658.9955444,0.01040724479,
658.008728,0.01066373475,658.008728,0.01075346675,658.008728,0.01090280432,
656.9849854,0.01072199736,656.9849854,0.01103219949,656.9849854,0.01077174954,
655.9974976,0.01088090613,655.9974976,0.01087708399,655.9974976,0.01102033071,
655.0097656,0.01084624324,655.0097656,0.01094283536,655.0097656,0.01097899303,
653.9851074,0.0108730495,653.9851074,0.01114277635,653.9851074,0.01107739378,
652.9967651,0.01111496985,652.9967651,0.01107800379,652.9967651,0.01103679277,
652.0081787,0.01121507492,652.0081787,0.01077315677,652.0081787,0.01075888053,
650.982605,0.01109529193,650.982605,0.01115247048,650.982605,0.01123143826,
649.9934082,0.01131844427,649.9934082,0.01122684218,649.9934082,0.01123207528,
649.0039673,0.01140860375,649.0039673,0.01123964693,649.0039673,0.01128921937,
648.0141602,0.01154588535,648.0141602,0.01116795465,648.0141602,0.01127880439,
646.9874268,0.01144185103,646.9874268,0.01151321549,646.9874268,0.01135410182,
645.9971313,0.01168916747,645.9971313,0.01135532465,645.9971313,0.01147257444,
645.0064697,0.01150949486,645.0064697,0.01135016978,645.0064697,0.011343739,
644.015564,0.01149351988,644.015564,0.01132779662,644.015564,0.01137610432,
642.9876099,0.01155178715,642.9876099,0.01180432644,642.9876099,0.01148644928,
641.9960938,0.0114187561,641.9960938,0.01138067432,641.9960938,0.01135628112,
641.0043945,0.01158235967,641.0043945,0.01138362475,641.0043945,0.01156199537,
640.0123291,0.01160314959,640.0123291,0.01166036911,640.0123291,0.01158477925,
638.9831543,0.01174376439,638.9831543,0.01181055047,638.9831543,0.01168802381,
637.9906006,0.01171392482,637.9906006,0.01164409611,637.9906006,0.01177623868,
636.9976196,0.01194782648,636.9976196,0.01179179829,636.9976196,0.01173163671,
636.0044556,0.01174344495,636.0044556,0.01183611341,636.0044556,0.01183797605,
635.0110474,0.01183733717,635.0110474,0.01190557517,635.0110474,0.01193750277,
634.0172729,0.0117586581,634.0172729,0.01188713778,634.0172729,0.01166018285,
632.9864502,0.01170195825,632.9864502,0.0118094869,632.9864502,0.01152972318,
631.9921265,0.01173450891,631.9921265,0.01186356694,631.9921265,0.01160123572,
630.9975586,0.01169932541,630.9975586,0.01176458877,630.9975586,0.01181089599,
630.0026245,0.01164250076,630.0026245,0.01169632003,630.0026245,0.01135529764,
629.0075073,0.01154530048,629.0075073,0.01176288631,629.0075073,0.01167504676,
628.012085,0.01149625704,628.012085,0.01169666648,628.012085,0.01145301294,
627.0163574,0.01144017652,627.0163574,0.01136688329,627.0163574,0.01141628437,
625.9835205,0.01133592799,625.9835205,0.01146018878,625.9835205,0.01130460203,
624.9873047,0.01135436818,624.9873047,0.01163314097,624.9873047,0.0114122713,
623.9907227,0.01157361269,623.9907227,0.01130810939,623.9907227,0.0115480125,
622.9939575,0.0115318764,622.9939575,0.01160977036,622.9939575,0.01142702065,
621.9968872,0.01149062254,621.9968872,0.01163236983,621.9968872,0.01123999152,
620.9995117,0.01160256471,620.9995117,0.01142271515,620.9995117,0.01135622803,
620.0018921,0.01139098499,620.0018921,0.01147403661,620.0018921,0.01139340363,
619.0040283,0.0116122691,619.0040283,0.0114397509,619.0040283,0.01139390841,
618.0058594,0.01130505372,618.0058594,0.01161038131,618.0058594,0.01119847316,
617.0073853,0.01135811489,617.0073853,0.01146202348,617.0073853,0.01140961424,
616.008728,0.01154325344,616.008728,0.01120755728,616.008728,0.01140371431,
615.0097656,0.01135513838,615.0097656,0.01181185432,615.0097656,0.01140384749,
614.010498,0.01152267866,614.010498,0.01142832357,614.010498,0.01129139774,
613.0109863,0.01148955896,613.0109863,0.01091100648,613.0109863,0.01127125975,
612.0112305,0.01137830969,612.0112305,0.01142856199,612.0112305,0.0115256831,
611.0111084,0.01140071172,611.0111084,0.01136839762,611.0111084,0.01151845232,
610.0108032,0.01134437695,610.0108032,0.01134363282,610.0108032,0.0112187406,
609.0101929,0.01106828544,609.0101929,0.01095435675,609.0101929,0.01097108144,
608.0093384,0.01139239408,608.0093384,0.01128621679,608.0093384,0.01108172163,
607.0082397,0.01122227404,607.0082397,0.01119414344,607.0082397,0.01127859205,
606.0068359,0.01125550643,606.0068359,0.01125016622,606.0068359,0.0112381056,
605.005188,0.01099683437,605.005188,0.01106400974,605.005188,0.011076889,
604.0032959,0.01089807972,604.0032959,0.01094694994,604.0032959,0.01070204563,
603.0010986,0.01059696544,603.0010986,0.01073595416,603.0010986,0.01072496921,
601.9985962,0.01100931223,601.9985962,0.01071377285,601.9985962,0.01063033566,
600.9959106,0.01099343598,600.9959106,0.01100025885,600.9959106,0.01091331616,
599.9929199,0.01106058434,599.9929199,0.01093601249,599.9929199,0.01078637131,
598.989624,0.01074736379,598.989624,0.01087166928,598.989624,0.01099839993,
597.9862061,0.01082201209,597.9862061,0.01079096273,597.9862061,0.0106828101,
596.9824219,0.01050739922,596.9824219,0.01042821724,596.9824219,0.01036731713,
596.015625,0.01028442383,596.015625,0.01040692627,596.015625,0.01057510916,
