trial1,,
Wavelength (nm),Abs,
799.9968262,0.001668627025,
798.9871826,0.002595613012,
798.0119019,0.002848103177,
797.0014038,0.003123736009,
795.9905396,0.002002384514,
795.0140991,0.002312091645,
794.0025024,0.002041498665,
792.9903564,0.001784226391,
792.0128784,0.002068001544,
790.999939,0.002223462332,
789.9866333,0.001913818531,
789.0079956,0.001954250969,
787.9938965,0.001873338013,
787.0144653,0.001748384209,
785.9996338,0.001410173019,
784.984375,0.001791218412,
784.0037842,0.001722732442,
782.9877319,0.00123732409,
782.0064087,0.001273227972,
780.989563,0.001614684239,
780.0075684,0.0009074221598,
778.9899292,0.001361949136,
778.0071411,0.00158867659,
776.9887695,0.0009346861043,
776.005188,0.001444325084,
774.9860229,0.001266763546,
774.001709,0.000901118794,
773.0169678,0.001503753592,
771.9967041,0.001565476297,
771.0112305,0.001500168932,
769.9902344,0.0009617441683,
769.0039673,0.001982308691,
768.0174561,0.002195571084,
766.9953003,0.002583295805,
766.0079346,0.002614259021,
764.9850464,0.003170069773,
763.9970093,0.003132913727,
763.008667,0.003544624895,
761.9845581,0.00269452855,
760.9954224,0.002934305929,
760.0059814,0.002737716772,
759.0161133,0.00213742652,
757.9904785,0.002110997448,
757,0.001615541638,
756.0089722,0.0009025973268,
754.9822998,0.0006646128022,
753.9906616,0.0004234678636,
752.9986572,0.0004392999108,
752.0062866,5.796255209E-005,
751.0135498,-0.0001107778153,
749.9849854,-0.0003784949658,
748.9915771,-0.0003565105144,
747.9978027,-0.0006754606147,
747.0036621,-0.00112664781,
746.0090942,-0.001598928473,
745.0142822,-0.002074921271,
743.9835205,-0.002599697094,
742.987915,-0.003665369935,
741.9920654,-0.004384772852,
740.9957886,-0.0054455176,
739.9992065,-0.005885649938,
739.0021973,-0.006860904396,
738.0048828,-0.007429302204,
737.0072021,-0.008254625835,
736.0091553,-0.009003239684,
735.0108032,-0.009710165672,
734.012085,-0.009995913133,
733.0130615,-0.01079577487,
732.0136719,-0.01100358646,
731.013916,-0.01170857716,
730.0137939,-0.01192360837,
729.0133057,-0.01252707373,
728.0125732,-0.01296772901,
727.0114746,-0.01325616241,
726.0100098,-0.01327494252,
725.0081787,-0.01353732869,
724.0060425,-0.01371794939,
723.00354,-0.01360376552,
722.0007935,-0.0138241807,
720.9975586,-0.01346209738,
719.9940186,-0.01338027697,
718.9901733,-0.01295099501,
717.9859009,-0.01229855139,
717.017334,-0.01243385766,
716.0124512,-0.01191907562,
715.0072632,-0.01140151359,
714.00177,-0.01070612576,
712.9958496,-0.01002404187,
711.989624,-0.009482739493,
710.9831543,-0.00839861203,
710.012207,-0.008188330568,
709.0049438,-0.007138906978,
707.9973755,-0.006556258071,
706.989563,-0.00566781126,
706.017395,-0.00489427615,
705.0088501,-0.004312809091,
704,-0.003215631936,
702.9907837,-0.002407903783,
702.017334,-0.001553327893,
701.0074463,-0.0005632756511,
699.9973145,0.0002029416355,
698.9868164,0.0004675191594,
698.012085,0.001255262643,
697.0009155,0.002445902443,
695.9894409,0.002898968058,
695.0137939,0.00359643274,
694.0016479,0.004603776149,
692.9891968,0.005212858319,
692.0125732,0.005916885566,
690.9995117,0.006402879488,
689.986084,0.007352121174,
689.0085449,0.007411520928,
687.9944458,0.007720552385,
687.0162964,0.008393980563,
686.0015869,0.008849308826,
684.9865723,0.009268513881,
684.0074463,0.009877822362,
682.9918823,0.01051050145,
682.012146,0.01071090717,
680.9958496,0.01137987711,
680.015625,0.01146741863,
678.9985962,0.01154872961,
678.0177612,0.01221609116,
677.0001221,0.01276799385,
675.9822998,0.0130153466,
675.0004883,0.01332219969,
673.9819946,0.01399167906,
672.9995728,0.01429331116,
672.0168457,0.01483910251,
670.9974365,0.01482426282,
670.0140991,0.01553579513,
668.9940796,0.01528512593,
668.0101318,0.01536366902,
666.9894409,0.01524402294,
666.0049438,0.01512231957,
664.9836426,0.01493572909,
663.9985962,0.01467421371,
663.0131836,0.0147688752,
661.9909058,0.01477685664,
661.0050049,0.01511299238,
659.9821777,0.01505662967,
658.9955444,0.01504993066,
658.008728,0.0149152074,
656.9849854,0.01527029835,
655.9974976,0.01522034965,
655.0097656,0.01542082243,
653.9851074,0.01559914276,
652.9967651,0.01575225033,
652.0081787,0.01594848372,
650.982605,0.0159491282,
649.9934082,0.0159655083,
649.0039673,0.01620797254,
648.0141602,0.01617524587,
646.9874268,0.01612379588,
645.9971313,0.01639908925,
645.0064697,0.01674000733,
644.015564,0.01655411907,
642.9876099,0.01664249413,
641.9960938,0.0167559348,
641.0043945,0.01692261174,
640.0123291,0.01708019711,
638.9831543,0.01723549701,
637.9906006,0.01730485819,
636.9976196,0.01758799143,
636.0044556,0.01769423671,
635.0110474,0.01793596707,
634.0172729,0.01786612906,
632.9864502,0.01807789132,
631.9921265,0.01834052056,
630.9975586,0.0184125416,
630.0026245,0.0185551364,
629.0075073,0.01889602095,
628.012085,0.01936117373,
627.0163574,0.01919277385,
625.9835205,0.01968405768,
624.9873047,0.02014040202,
623.9907227,0.02087132446,
622.9939575,0.02150497586,
621.9968872,0.02214603685,
620.9995117,0.02284091711,
620.0018921,0.02355899289,
619.0040283,0.02460849099,
618.0058594,0.02594781853,
617.0073853,0.02737106942,
616.008728,0.02899228036,
615.0097656,0.03106319532,
614.010498,0.03306220844,
613.0109863,0.03574343026,
612.0112305,0.03869852424,
611.0111084,0.04237427562,
610.0108032,0.04611856118,
609.0101929,0.05059853941,
608.0093384,0.05610248074,
607.0082397,0.0620130375,
606.0068359,0.06848734617,
605.005188,0.07565426081,
604.0032959,0.08448734879,
603.0010986,0.09423212707,
601.9985962,0.1056680009,
600.9959106,0.1171344891,
599.9929199,0.1300107986,
598.989624,0.1456819475,
597.9862061,0.162873745,
596.9824219,0.1798785031,
596.015625,0.1976589411,
595.0112305,0.2177528441,
594.0067139,0.2376248837,
593.0019531,0.2598381639,
591.9969482,0.2840047777,
590.9915771,0.3083321452,
589.9859619,0.3336093426,
589.017395,0.357323885,
588.0112915,0.3809227645,
587.0048828,0.4055161774,
585.9983521,0.4310594797,
584.9914551,0.4572155774,
583.984375,0.4827262461,
583.0143433,0.5051510334,
582.0066528,0.5265005231,
580.9987793,0.5484593511,
579.9907227,0.5704398751,
578.9822388,0.5906075239,
