trial1,,
Wavelength (nm),Abs,
799.9968262,0.01669101976,
798.9871826,0.01628047414,
798.0119019,0.01573410444,
797.0014038,0.01707605086,
795.9905396,0.01781757921,
795.0140991,0.01693763025,
794.0025024,0.01621659845,
792.9903564,0.01637201943,
792.0128784,0.01632256247,
790.999939,0.01822647639,
789.9866333,0.01524984092,
789.0079956,0.01564988494,
787.9938965,0.01665941253,
787.0144653,0.01397224423,
785.9996338,0.0157187786,
784.984375,0.01624467783,
784.0037842,0.01693235524,
782.9877319,0.01512103342,
782.0064087,0.01515577175,
780.989563,0.01605207287,
780.0075684,0.0176111199,
778.9899292,0.01601629518,
778.0071411,0.01558913384,
776.9887695,0.01671329327,
776.005188,0.01622578688,
774.9860229,0.01698069647,
774.001709,0.0168097727,
773.0169678,0.01649243385,
771.9967041,0.01579976268,
771.0112305,0.01673597284,
769.9902344,0.01625956595,
769.0039673,0.01606781222,
768.0174561,0.01638427749,
766.9953003,0.01702056453,
766.0079346,0.0179266613,
764.9850464,0.01816682145,
763.9970093,0.0177445244,
763.008667,0.01691402495,
761.9845581,0.01800236478,
760.9954224,0.01741860621,
760.0059814,0.01830549911,
759.0161133,0.01880683564,
757.9904785,0.01770938933,
757,0.01639661565,
756.0089722,0.01629418135,
754.9822998,0.01653854921,
753.9906616,0.01531185955,
752.9986572,0.01536071952,
752.0062866,0.01550167054,
751.0135498,0.01508163475,
749.9849854,0.01438861247,
748.9915771,0.0155107379,
747.9978027,0.0138287954,
747.0036621,0.01396465208,
746.0090942,0.01442610193,
745.0142822,0.01295922883,
743.9835205,0.01244682632,
742.987915,0.01251089666,
741.9920654,0.0115655046,
740.9957886,0.01097960304,
739.9992065,0.009413399734,
739.0021973,0.008567062207,
738.0048828,0.008293574676,
737.0072021,0.007009598427,
736.0091553,0.00632318249,
735.0108032,0.005613120738,
734.012085,0.005641494412,
733.0130615,0.005251423921,
732.0136719,0.004497598391,
731.013916,0.003818454221,
730.0137939,0.00376996235,
729.0133057,0.003079701215,
728.0125732,0.003045576625,
727.0114746,0.002635301556,
726.0100098,0.002675462514,
725.0081787,0.00144692231,
724.0060425,0.002189535182,
723.00354,0.001841361751,
722.0007935,0.00160925393,
720.9975586,0.002548533259,
719.9940186,0.002177931834,
718.9901733,0.002929015551,
717.9859009,0.002882550936,
717.017334,0.002902121283,
716.0124512,0.003582468722,
715.0072632,0.00459393952,
714.00177,0.004698649514,
712.9958496,0.005778459832,
711.989624,0.005643225275,
710.9831543,0.007776181214,
710.012207,0.008053167723,
709.0049438,0.008605504408,
707.9973755,0.009775244631,
706.989563,0.0105894329,
706.017395,0.01109266281,
705.0088501,0.01145024877,
704,0.01275788993,
702.9907837,0.0141733177,
702.017334,0.01417187322,
701.0074463,0.01479830965,
699.9973145,0.0160950236,
698.9868164,0.01656105742,
698.012085,0.01758812554,
697.0009155,0.01851761341,
695.9894409,0.01889004558,
695.0137939,0.02059662901,
694.0016479,0.02068528719,
692.9891968,0.02149260044,
692.0125732,0.02218545415,
690.9995117,0.02244480141,
689.986084,0.02318739705,
689.0085449,0.02397976257,
687.9944458,0.02548374236,
687.0162964,0.02537977323,
686.0015869,0.02593091875,
684.9865723,0.02578904293,
