Time (µs) - Sample 5 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test1;;Time (µs) - Sample 5 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test2;;Time (µs) - Sample 5 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Intensity (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Intensity (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Intensity (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Number (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Number (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Number (Percent) - Sample 5 [Steady state] test3;;;;Size (d.nm) - Sample 5 [Steady state] test1;Volume (Percent) - Sample 5 [Steady state] test1;;Size (d.nm) - Sample 5 [Steady state] test2;Volume (Percent) - Sample 5 [Steady state] test2;;Size (d.nm) - Sample 5 [Steady state] test3;Volume (Percent) - Sample 5 [Steady state] test3
0,4;0,9809;;0,4;0,9584;;0,4;1,024;;;;13,06;11,19;;13,06;10,06;;13,06;15,12;;;;13,06;31,62;;13,06;28,92;;13,06;32,91;;;;13,06;26,64;;13,06;25,22;;13,06;29,9
0,425;0,9854;;0,425;0,9513;;0,425;1,029;;;;15,18;16,02;;15,18;13,8;;15,18;18,36;;;;15,18;21,72;;15,18;18,49;;15,18;20,02;;;;15,18;25,8;;15,18;23,28;;15,18;25,4
0,45;0,9873;;0,45;0,9513;;0,45;1,03;;;;17,66;14,89;;17,66;13,57;;17,66;13,07;;;;17,66;9,754;;17,66;8,411;;17,66;7,481;;;;17,66;16,82;;17,66;15,65;;17,66;13,58
0,475;0,9847;;0,475;0,9509;;0,475;1,026;;;;20,53;8,823;;20,53;9,687;;20,53;4,383;;;;20,53;2,999;;20,53;2,858;;20,53;1,696;;;;20,53;7,528;;20,53;7,888;;20,53;4,383
0,5;0,9859;;0,5;0,9481;;0,5;1,02;;;;23,88;2,43;;23,88;4,456;;23,88;0;;;;23,88;0,5842;;23,88;0,7014;;23,88;0,1811;;;;23,88;2,107;;23,88;2,84;;23,88;0,6557
0,525;0,9814;;0,525;0,9485;;0,525;1,019;;;;27,77;0;;27,77;0,7505;;27,77;0;;;;27,77;0,05328;;27,77;0,1072;;27,77;0;;;;27,77;0,2737;;27,77;0,625;;27,77;0
0,55;0,9777;;0,55;0,9485;;0,55;1,016;;;;32,3;0;;32,3;0;;32,3;0;;;;32,3;0;;32,3;0,006439;;32,3;0;;;;32,3;0;;32,3;0,05523;;32,3;0
0,575;0,9713;;0,575;0,9508;;0,575;1,018;;;;37,56;0;;37,56;0;;37,56;0;;;;37,56;0;;37,56;0;;37,56;0;;;;37,56;0;;37,56;0;;37,56;0
0,6;0,9716;;0,6;0,95;;0,6;1,018;;;;43,68;0;;43,68;0;;43,68;0;;;;43,68;0;;43,68;0;;43,68;0;;;;43,68;0;;43,68;0;;43,68;0
0,625;0,9722;;0,625;0,9481;;0,625;1,018;;;;50,79;0;;50,79;0;;50,79;0;;;;50,79;0;;50,79;0;;50,79;0,0003092;;;;50,79;0;;50,79;0;;50,79;0,02664
0,65;0,9684;;0,65;0,9421;;0,65;1,016;;;;59,07;0;;59,07;0;;59,07;4,062;;;;59,07;0;;59,07;0;;59,07;0,0009996;;;;59,07;0;;59,07;0;;59,07;0,1049
0,675;0,9694;;0,675;0,9382;;0,675;1,015;;;;68,69;0;;68,69;0;;68,69;12,12;;;;68,69;3,97E-05;;68,69;4,18E-05;;68,69;0,001277;;;;68,69;0,007634;;68,69;0,008535;;68,69;0,1738
0,7;0,9668;;0,7;0,9365;;0,7;1,015;;;;79,88;2,303;;79,88;2,512;;79,88;15,63;;;;79,88;0,000139;;79,88;0,0001333;;79,88;0,000849;;;;79,88;0,03327;;79,88;0,03302;;79,88;0,1583
0,725;0,9675;;0,725;0,9378;;0,725;1,015;;;;92,89;8,049;;92,89;6,954;;92,89;10,01;;;;92,89;0,0002014;;92,89;0,0001756;;92,89;0,0003216;;;;92,89;0,0639;;92,89;0,05782;;92,89;0,08324
0,75;0,9628;;0,75;0,9391;;0,75;1,01;;;;108;12,77;;108;10,7;;108;1,129;;;;108;0,0001653;;108;0,0001368;;108;6,23E-05;;;;108;0,07387;;108;0,06521;;108;0,02198
0,775;0,9604;;0,775;0,9391;;0,775;1,005;;;;125,6;12,27;;125,6;11,29;;125,6;0;;;;125,6;9,06E-05;;125,6;7,93E-05;;125,6;2,88E-06;;;;125,6;0,05915;;125,6;0,05677;;125,6;0,001516
