Time (µs) - Sample 4 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 4 [Steady state] test1;;Time (µs) - Sample 4 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 4 [Steady state] test2;;Time (µs) - Sample 4 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 4 [Steady state] test3;;;;Size (d.nm) - Sample 4 [Steady state] test1;Intensity (Percent) - Sample 4 [Steady state] test1;;Size (d.nm) - Sample 4 [Steady state] test2;Intensity (Percent) - Sample 4 [Steady state] test2;;Size (d.nm) - Sample 4 [Steady state] test3;Intensity (Percent) - Sample 4 [Steady state] test3;;;;Size (d.nm) - Sample 4 [Steady state] test1;Number (Percent) - Sample 4 [Steady state] test1;;Size (d.nm) - Sample 4 [Steady state] test2;Number (Percent) - Sample 4 [Steady state] test2;;Size (d.nm) - Sample 4 [Steady state] test3;Number (Percent) - Sample 4 [Steady state] test3;;;;Size (d.nm) - Sample 4 [Steady state] test1;Volume (Percent) - Sample 4 [Steady state] test1;;Size (d.nm) - Sample 4 [Steady state] test2;Volume (Percent) - Sample 4 [Steady state] test2;;Size (d.nm) - Sample 4 [Steady state] test3;Volume (Percent) - Sample 4 [Steady state] test3
0,0875;1,016;;0,0875;1,079;;0,0875;1,045;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0;;;;0,3;0;;0,3;0;;0,3;0
0,1;1,014;;0,1;1,071;;0,1;1,04;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0;;;;0,3489;0;;0,3489;0;;0,3489;0
0,1125;1,01;;0,1125;1,062;;0,1125;1,03;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0;;;;0,4057;0;;0,4057;0;;0,4057;0
0,125;1,005;;0,125;1,061;;0,125;1,023;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0;;;;0,4718;0;;0,4718;0;;0,4718;0
0,1375;1,005;;0,1375;1,048;;0,1375;1,02;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0;;;;0,5487;0;;0,5487;0;;0,5487;0
0,15;1,005;;0,15;1,041;;0,15;1,019;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0;;;;0,6381;0;;0,6381;0;;0,6381;0
0,1625;1,001;;0,1625;1,035;;0,1625;1,015;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0;;;;0,742;0;;0,742;0;;0,742;0
0,175;0,996;;0,175;1,039;;0,175;1,013;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0;;;;0,8629;0;;0,8629;0;;0,8629;0
0,1875;0,9917;;0,1875;1,043;;0,1875;1,013;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0;;;;1,003;0;;1,003;0;;1,003;0
0,2;0,9937;;0,2;1,039;;0,2;1,011;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0;;;;1,167;0;;1,167;0;;1,167;0
0,2125;0,995;;0,2125;1,04;;0,2125;1,006;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0;;;;1,357;0;;1,357;0;;1,357;0
