Time (µs) - Sample 2 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test1;Time (µs) - Sample 2 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test2;Time (µs) - Sample 2 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test3;;;;;;Size (d.nm) - Sample 2 [Steady state] test1;Intensity (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Intensity (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Intensity (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Number (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Number (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Number (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Volume (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Volume (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Volume (Percent) - Sample 2 [Steady state] test3
0,4;0,9899;0,4;0,9964;0,4;0,9942;;;;;;13,06;2,368;;13,06;1,191;;13,06;1,403;;;;13,06;27,27;;13,06;28,35;;13,06;8,292;;;;13,06;28,09;;13,06;19,28;;13,06;14,03
0,425;0,9854;0,425;0,9937;0,425;0,994;;;;;;15,18;2,353;;15,18;2,745;;15,18;0,866;;;;15,18;13,5;;15,18;32,22;;15,18;2,525;;;;15,18;19,89;;15,18;28,32;;15,18;6,38
0,45;0,9797;0,45;0,9943;0,45;0,9917;;;;;;17,66;1,469;;17,66;3,409;;17,66;0,4258;;;;17,66;4,379;;17,66;19,56;;17,66;0,6;;;;17,66;9,37;;17,66;24,37;;17,66;2,382
0,475;0,9767;0,475;0,9899;0,475;0,9912;;;;;;20,53;0,4639;;20,53;2,756;;20,53;0,4027;;;;20,53;0,9035;;20,53;7,786;;20,53;0,1686;;;;20,53;2,785;;20,53;14,11;;20,53;1,227
0,5;0,9735;0,5;0,9914;0,5;0,9892;;;;;;23,88;0;;23,88;1,334;;23,88;0,8212;;;;23,88;0,092;;23,88;2,08;;23,88;0,09998;;;;23,88;0,3993;;23,88;5,454;;23,88;1,241
0,525;0,9722;0,525;0,9916;0,525;0,9913;;;;;;27,77;0;;27,77;0,1847;;27,77;1,405;;;;27,77;0,000225;;27,77;0,3233;;27,77;0,07011;;;;27,77;0,003798;;27,77;1,204;;27,77;1,301
0,55;0,9703;0,55;0,9913;0,55;0,9893;;;;;;32,3;0,01704;;32,3;0;;32,3;1,752;;;;32,3;0,003194;;32,3;0,01631;;32,3;0,03904;;;;32,3;0,08046;;32,3;0,09028;;32,3;1,07
0,575;0,9716;0,575;0,9914;0,575;0,9914;;;;;;37,56;0,5115;;37,56;0;;37,56;1,589;;;;37,56;0,008431;;37,56;0;;37,56;0,01643;;;;37,56;0,2631;;37,56;0;;37,56;0,6656
0,6;0,9712;0,6;0,9868;0,6;0,9903;;;;;;43,68;1,246;;43,68;0;;43,68;0,9756;;;;43,68;0,00975;;43,68;0;;43,68;0,005068;;;;43,68;0,403;;43,68;0;;43,68;0,3011
0,625;0,9749;0,625;0,9848;0,625;0,9899;;;;;;50,79;1,76;;50,79;0;;50,79;0,3004;;;;50,79;0,00651;;50,79;0;;50,79;0,001035;;;;50,79;0,3872;;50,79;0;;50,79;0,08858
0,65;0,9759;0,65;0,9831;0,65;0,9887;;;;;;59,07;1,792;;59,07;0;;59,07;0;;;;59,07;0,003103;;59,07;0;;59,07;0,0001039;;;;59,07;0,2749;;59,07;0;;59,07;0,01255
0,675;0,9729;0,675;0,9885;0,675;0,987;;;;;;68,69;1,495;;68,69;0;;68,69;0;;;;68,69;0,001194;;68,69;0;;68,69;0;;;;68,69;0,1634;;68,69;0;;68,69;0
0,7;0,972;0,7;0,9858;0,7;0,9862;;;;;;79,88;1,396;;79,88;0;;79,88;0;;;;79,88;0,00046;;79,88;3,32E-05;;79,88;1,30E-05;;;;79,88;0,1051;;79,88;0,006883;;79,88;0,009608
0,725;0,9651;0,725;0,9869;0,725;0,9811;;;;;;92,89;2,145;;92,89;0,4519;;92,89;1,236;;;;92,89;0,0002554;;92,89;0,0002387;;92,89;5,04E-05;;;;92,89;0,1015;;92,89;0,06989;;92,89;0,04759
0,75;0,9707;0,75;0,9847;0,75;0,981;;;;;;108;4,171;;108;5,196;;108;5,148;;;;108;0,0002053;;108;0,0005926;;108;8,80E-05;;;;108;0,1327;;108;0,2292;;108;0,1142
0,775;0,9724;0,775;0,9911;0,775;0,9773;;;;;;125,6;7,384;;125,6;12,93;;125,6;11,01;;;;125,6;0,0001844;;125,6;0,0008094;;125,6;0,0001018;;;;125,6;0,1892;;125,6;0,4435;;125,6;0,1958
0,8;0,976;0,8;0,9881;0,8;0,9779;;;;;;146,1;11,08;;146,1;19,72;;146,1;16,59;;;;146,1;0,0001385;;146,1;0,0006606;;146,1;8,01E-05;;;;146,1;0,1974;;146,1;0,4835;;146,1;0,2092
0,85;0,9693;0,85;0,9832;0,85;0,9775;;;;;;169,9;14,08;;169,9;21,69;;169,9;19,28;;;;169,9;6,06E-05;;169,9;0,000278;;169,9;3,41E-05;;;;169,9;0,1145;;169,9;0,2631;;169,9;0,1163
