Time (µs) - Sample 2 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test1;Time (µs) - Sample 2 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test2;Time (µs) - Sample 2 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 2 [Steady state] test3;;;;;;Size (d.nm) - Sample 2 [Steady state] test1;Intensity (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Intensity (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Intensity (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Number (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Number (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Number (Percent) - Sample 2 [Steady state] test3;;;;Size (d.nm) - Sample 2 [Steady state] test1;Volume (Percent) - Sample 2 [Steady state] test1;;Size (d.nm) - Sample 2 [Steady state] test2;Volume (Percent) - Sample 2 [Steady state] test2;;Size (d.nm) - Sample 2 [Steady state] test3;Volume (Percent) - Sample 2 [Steady state] test3
40;0,5878;40;0,6059;40;0,6073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41,6;0,5789;41,6;0,5975;41,6;0,5983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43,2;0,5699;43,2;0,5884;43,2;0,5899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44,8;0,5613;44,8;0,5805;44,8;0,5817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46,4;0,5529;46,4;0,5716;46,4;0,5732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;0,5453;48;0,5644;48;0,565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49,6;0,5379;49,6;0,5564;49,6;0,557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51,2;0,5307;51,2;0,5491;51,2;0,5497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54,4;0,5161;54,4;0,5349;54,4;0,5354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57,6;0,5018;57,6;0,5205;57,6;0,5214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60,8;0,4884;60,8;0,507;60,8;0,5081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;0,4753;64;0,4936;64;0,495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67,2;0,4627;67,2;0,4818;67,2;0,4825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70,4;0,4504;70,4;0,4699;70,4;0,4703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73,6;0,439;73,6;0,459;73,6;0,4588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76,8;0,4276;76,8;0,4479;76,8;0,4479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;0,4169;80;0,4376;80;0,4374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83,2;0,4067;83,2;0,4272;83,2;0,4271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86,4;0,397;86,4;0,4173;86,4;0,4171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89,6;0,3874;89,6;0,4074;89,6;0,4073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92,8;0,378;92,8;0,3982;92,8;0,3982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;0,3693;96;0,3895;96;0,3894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99,2;0,3608;99,2;0,381;99,2;0,3813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102,4;0,3527;102,4;0,3729;102,4;0,3732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108,8;0,3369;108,8;0,3571;108,8;0,3576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115,2;0,3223;115,2;0,3427;115,2;0,3425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121,6;0,3088;121,6;0,3291;121,6;0,3288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;0,2961;128;0,3164;128;0,3161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134,4;0,2838;134,4;0,3044;134,4;0,3044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140,8;0,2721;140,8;0,2932;140,8;0,2933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147,2;0,2613;147,2;0,2826;147,2;0,2827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153,6;0,2514;153,6;0,2728;153,6;0,2728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;0,2423;160;0,2634;160;0,2634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166,4;0,2336;166,4;0,2543;166,4;0,2548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172,8;0,2257;172,8;0,2458;172,8;0,2468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179,2;0,2181;179,2;0,238;179,2;0,2392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185,6;0,2109;185,6;0,2312;185,6;0,232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;0,204;192;0,2241;192;0,225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198,4;0,1974;198,4;0,2172;198,4;0,2184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204,8;0,1915;204,8;0,2107;204,8;0,2123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217,6;0,1803;217,6;0,1991;217,6;0,201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230,4;0,1702;230,4;0,1885;230,4;0,1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243,2;0,1611;243,2;0,1789;243,2;0,1814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;0,1526;256;0,1702;256;0,1728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
268,8;0,1449;268,8;0,1624;268,8;0,165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
281,6;0,1379;281,6;0,1552;281,6;0,1577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
294,4;0,1316;294,4;0,1487;294,4;0,1512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307,2;0,1258;307,2;0,1429;307,2;0,1455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;0,1202;320;0,1376;320;0,1404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332,8;0,115;332,8;0,1328;332,8;0,1358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345,6;0,1105;345,6;0,128;345,6;0,1315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358,4;0,1062;358,4;0,1237;358,4;0,1275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371,2;0,1025;371,2;0,1198;371,2;0,1237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;0,09899;384;0,1165;384;0,1203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
396,8;0,09579;396,8;0,1132;396,8;0,1169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409,6;0,09282;409,6;0,1105;409,6;0,1139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
435,2;0,08749;435,2;0,1055;435,2;0,1081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
460,8;0,08275;460,8;0,1014;460,8;0,1031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
486,4;0,07854;486,4;0,09739;486,4;0,09876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;0,07503;512;0,09319;512;0,09502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537,6;0,07192;537,6;0,0891;537,6;0,09158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563,2;0,06896;563,2;0,0853;563,2;0,08849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588,8;0,06611;588,8;0,0821;588,8;0,08561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614,4;0,06392;614,4;0,07916;614,4;0,08318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
640;0,06208;640;0,07688;640;0,08092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
665,6;0,06041;665,6;0,07494;665,6;0,07898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691,2;0,05823;691,2;0,07352;691,2;0,07707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
716,8;0,05616;716,8;0,07244;716,8;0,07527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
742,4;0,05423;742,4;0,07148;742,4;0,07355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
768;0,05253;768;0,07027;768;0,07184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
793,6;0,05112;793,6;0,06884;793,6;0,07025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
819,2;0,04974;819,2;0,06769;819,2;0,06914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
870,4;0,04773;870,4;0,06608;870,4;0,0678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
921,6;0,04596;921,6;0,06477;921,6;0,06655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
972,8;0,04465;972,8;0,06414;972,8;0,06491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024;0,04365;1024;0,064;1024;0,06331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1075;0,04294;1075;0,06405;1075;0,06202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;0,04254;1126;0,06374;1126;0,06106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1178;0,04252;1178;0,06277;1178;0,06007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1229;0,04261;1229;0,06181;1229;0,05958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1280;0,04262;1280;0,06067;1280;0,05936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1331;0,04263;1331;0,06002;1331;0,05958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1382;0,04223;1382;0,05946;1382;0,05968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1434;0,04225;1434;0,05927;1434;0,05962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1485;0,04213;1485;0,05873;1485;0,0593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1536;0,04261;1536;0,05846;1536;0,05861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1587;0,04281;1587;0,05853;1587;0,05802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1638;0,04271;1638;0,05841;1638;0,05749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1741;0,0415;1741;0,05728;1741;0,05721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;0,04079;1843;0,05554;1843;0,05672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1946;0,04041;1946;0,05434;1946;0,05596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2048;0,04028;2048;0,05363;2048;0,05499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2150;0,03911;2150;0,0536;2150;0,05456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2253;0,0376;2253;0,05381;2253;0,05476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2355;0,03668;2355;0,05455;2355;0,05496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2458;0,03684;2458;0,05496;2458;0,05497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2560;0,03728;2560;0,05464;2560;0,05448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2662;0,03747;2662;0,05348;2662;0,0539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2765;0,03778;2765;0,05255;2765;0,05333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2867;0,03812;2867;0,05229;2867;0,05295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2970;0,03843;2970;0,0528;2970;0,05299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3072;0,03749;3072;0,05375;3072;0,05391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3174;0,03559;3174;0,05445;3174;0,05504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3277;0,03387;3277;0,05446;3277;0,05548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3482;0,03225;3482;0,05338;3482;0,05398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3686;0,03224;3686;0,05229;3686;0,05225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3891;0,0325;3891;0,05127;3891;0,05109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4096;0,03237;4096;0,05023;4096;0,05061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4301;0,0322;4301;0,05013;4301;0,05011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4506;0,03185;4506;0,05068;4506;0,04969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4710;0,03203;4710;0,05093;4710;0,04967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4915;0,03311;4915;0,05121;4915;0,04975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5120;0,03398;5120;0,05175;5120;0,04944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5325;0,0339;5325;0,05184;5325;0,04915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5530;0,0325;5530;0,05057;5530;0,04847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5734;0,03215;5734;0,04863;5734;0,04768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5939;0,03259;5939;0,04799;5939;0,04649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6144;0,0331;6144;0,04841;6144;0,04611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6349;0,03236;6349;0,04894;6349;0,04565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6554;0,03175;6554;0,04921;6554;0,0458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6963;0,0315;6963;0,04896;6963;0,0452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7373;0,03165;7373;0,04803;7373;0,04483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7782;0,03095;7782;0,04682;7782;0,04382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8192;0,02993;8192;0,04561;8192;0,04364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8602;0,02968;8602;0,0451;8602;0,04397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9011;0,02973;9011;0,04489;9011;0,0434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9421;0,02958;9421;0,04521;9421;0,04254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9830;0,02882;9830;0,0456;9830;0,04108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,02E+04;0,02802;1,02E+04;0,04522;1,02E+04;0,04013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,07E+04;0,02688;1,07E+04;0,04415;1,07E+04;0,0388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,11E+04;0,0259;1,11E+04;0,04304;1,11E+04;0,03766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,15E+04;0,02575;1,15E+04;0,04269;1,15E+04;0,0371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,19E+04;0,02561;1,19E+04;0,04214;1,19E+04;0,03744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,23E+04;0,02501;1,23E+04;0,04153;1,23E+04;0,03781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,27E+04;0,02406;1,27E+04;0,04044;1,27E+04;0,03866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,31E+04;0,02383;1,31E+04;0,03938;1,31E+04;0,03862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,39E+04;0,02417;1,39E+04;0,03781;1,39E+04;0,03829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,48E+04;0,02402;1,48E+04;0,03656;1,48E+04;0,03714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,56E+04;0,02292;1,56E+04;0,03766;1,56E+04;0,03559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,64E+04;0,02147;1,64E+04;0,03763;1,64E+04;0,03428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,72E+04;0,02108;1,72E+04;0,03711;1,72E+04;0,03375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,80E+04;0,02107;1,80E+04;0,03604;1,80E+04;0,03406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,88E+04;0,02107;1,88E+04;0,03455;1,88E+04;0,03369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,97E+04;0,02003;1,97E+04;0,03412;1,97E+04;0,03238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,05E+04;0,01867;2,05E+04;0,03234;2,05E+04;0,0309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,13E+04;0,01728;2,13E+04;0,03163;2,13E+04;0,03026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,21E+04;0,01629;2,21E+04;0,03057;2,21E+04;0,02975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,29E+04;0,0158;2,29E+04;0,03017;2,29E+04;0,0293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,38E+04;0,01552;2,38E+04;0,02898;2,38E+04;0,02855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,46E+04;0,01468;2,46E+04;0,02835;2,46E+04;0,02822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,54E+04;0,0136;2,54E+04;0,02779;2,54E+04;0,02757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,62E+04;0,01262;2,62E+04;0,02766;2,62E+04;0,02725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,79E+04;0,01124;2,79E+04;0,02579;2,79E+04;0,02618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,95E+04;0,0105;2,95E+04;0,02384;2,95E+04;0,02524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,11E+04;0,009976;3,11E+04;0,02214;3,11E+04;0,02388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,28E+04;0,009167;3,28E+04;0,02121;3,28E+04;0,02216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,44E+04;0,008206;3,44E+04;0,02001;3,44E+04;0,02055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,60E+04;0,007137;3,60E+04;0,01864;3,60E+04;0,01921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,77E+04;0,006826;3,77E+04;0,01703;3,77E+04;0,0183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,93E+04;0,005885;3,93E+04;0,01655;3,93E+04;0,01772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,10E+04;0,005245;4,10E+04;0,01586;4,10E+04;0,01723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,26E+04;0,004316;4,26E+04;0,0152;4,26E+04;0,01657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,42E+04;0,003973;4,42E+04;0,01402;4,42E+04;0,0158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,59E+04;0,003754;4,59E+04;0,01286;4,59E+04;0,01483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,75E+04;0,003965;4,75E+04;0,01214;4,75E+04;0,01367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,92E+04;0,004035;4,92E+04;0,01122;4,92E+04;0,01242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,08E+04;0,003658;5,08E+04;0,01083;5,08E+04;0,01143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,24E+04;0,003165;5,24E+04;0,01029;5,24E+04;0,01064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,57E+04;0,002504;5,57E+04;0,009395;5,57E+04;0,008852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,90E+04;0,002156;5,90E+04;0,008126;5,90E+04;0,007241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,23E+04;0,0019;6,23E+04;0,006556;6,23E+04;0,006041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,55E+04;0,001959;6,55E+04;0,005386;6,55E+04;0,005156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6,88E+04;0,002173;6,88E+04;0,004797;6,88E+04;0,004907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,21E+04;0,002157;7,21E+04;0,004581;7,21E+04;0,004414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,54E+04;0,002132;7,54E+04;0,004358;7,54E+04;0,004387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,86E+04;0,002219;7,86E+04;0,003748;7,86E+04;0,004173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,19E+04;0,002683;8,19E+04;0,003079;8,19E+04;0,004039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,52E+04;0,003029;8,52E+04;0,00267;8,52E+04;0,003957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,85E+04;0,003425;8,85E+04;0,002861;8,85E+04;0,003532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,18E+04;0,003435;9,18E+04;0,002743;9,18E+04;0,00332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,50E+04;0,003585;9,50E+04;0,002571;9,50E+04;0,003256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9,83E+04;0,003454;9,83E+04;0,002026;9,83E+04;0,003501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,02E+05;0,004011;1,02E+05;0,002083;1,02E+05;0,003792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,05E+05;0,004033;1,05E+05;0,001974;1,05E+05;0,003942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,11E+05;0,003932;1,11E+05;0,002077;1,11E+05;0,004204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,18E+05;0,00335;1,18E+05;0,00189;1,18E+05;0,004566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,25E+05;0,003065;1,25E+05;0,001906;1,25E+05;0,004996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,31E+05;0,002869;1,31E+05;0,002105;1,31E+05;0,005244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,38E+05;0,002923;1,38E+05;0,002425;1,38E+05;0,005407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,44E+05;0,002868;1,44E+05;0,002725;1,44E+05;0,00536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,51E+05;0,003054;1,51E+05;0,002711;1,51E+05;0,005158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,57E+05;0,002995;1,57E+05;0,002601;1,57E+05;0,004823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,64E+05;0,003151;1,64E+05;0,00276;1,64E+05;0,004309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,70E+05;0,003292;1,70E+05;0,00306;1,70E+05;0,003909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,77E+05;0,003546;1,77E+05;0,00354;1,77E+05;0,003562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,84E+05;0,00349;1,84E+05;0,003994;1,84E+05;0,003366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,90E+05;0,00345;1,90E+05;0,004491;1,90E+05;0,002914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1,97E+05;0,003318;1,97E+05;0,004787;1,97E+05;0,002611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,03E+05;0,0032;2,03E+05;0,005077;2,03E+05;0,002329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,10E+05;0,003109;2,10E+05;0,005182;2,10E+05;0,002368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,23E+05;0,002927;2,23E+05;0,005381;2,23E+05;0,002587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,36E+05;0,003012;2,36E+05;0,005019;2,36E+05;0,002846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,49E+05;0,003069;2,49E+05;0,00447;2,49E+05;0,003206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,62E+05;0,003085;2,62E+05;0,004039;2,62E+05;0,003742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,75E+05;0,003106;2,75E+05;0,004009;2,75E+05;0,004418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,88E+05;0,003327;2,88E+05;0,00416;2,88E+05;0,005202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,02E+05;0,003872;3,02E+05;0,004335;3,02E+05;0,005718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,15E+05;0,004387;3,15E+05;0,004935;3,15E+05;0,006019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
