Size (d.nm) - Sample 3 [Steady state] test1;Intensity (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Intensity (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Intensity (Percent) - Sample 3 [Steady state] test3;;;;Time (µs) - Sample 3 [Steady state] test1;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test1;;Time (µs) - Sample 3 [Steady state] test2;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test2;;Time (µs) - Sample 3 [Steady state] test3;Correlation Coefficient (g₂-1) - Sample 3 [Steady state] test3;;;;;Size (d.nm) - Sample 3 [Steady state] test1;Number (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Number (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Number (Percent) - Sample 3 [Steady state] test3;;;;Size (d.nm) - Sample 3 [Steady state] test1;Volume (Percent) - Sample 3 [Steady state] test1;;Size (d.nm) - Sample 3 [Steady state] test2;Volume (Percent) - Sample 3 [Steady state] test2;;Size (d.nm) - Sample 3 [Steady state] test3;Volume (Percent) - Sample 3 [Steady state] test3
;;;;;;;;;;;92,8;0,384;;92,8;0,3836;;92,8;0,3985;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;96;0,3742;;96;0,3743;;96;0,3894;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;99,2;0,3654;;99,2;0,3654;;99,2;0,3803;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;102,4;0,3564;;102,4;0,3571;;102,4;0,3716;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;108,8;0,3401;;108,8;0,341;;108,8;0,3552;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;115,2;0,3245;;115,2;0,3259;;115,2;0,3404;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;121,6;0,3102;;121,6;0,3116;;121,6;0,3261;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;128;0,2968;;128;0,2985;;128;0,3125;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;134,4;0,2843;;134,4;0,2862;;134,4;0,3003;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;140,8;0,2723;;140,8;0,2747;;140,8;0,2887;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;147,2;0,2614;;147,2;0,2643;;147,2;0,2781;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;153,6;0,2513;;153,6;0,2542;;153,6;0,2676;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;160;0,2421;;160;0,245;;160;0,2584;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;166,4;0,2331;;166,4;0,236;;166,4;0,2495;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;172,8;0,2245;;172,8;0,2278;;172,8;0,2414;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;179,2;0,2165;;179,2;0,2199;;179,2;0,2333;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;185,6;0,2089;;185,6;0,2127;;185,6;0,2258;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;192;0,2021;;192;0,2057;;192;0,219;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;198,4;0,1955;;198,4;0,1991;;198,4;0,213;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;204,8;0,1895;;204,8;0,1928;;204,8;0,2069;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;217,6;0,1782;;217,6;0,1815;;217,6;0,1954;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;230,4;0,1681;;230,4;0,1711;;230,4;0,1847;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;243,2;0,1591;;243,2;0,1618;;243,2;0,175;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;256;0,1507;;256;0,1533;;256;0,1663;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;268,8;0,1433;;268,8;0,146;;268,8;0,1587;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;281,6;0,1364;;281,6;0,1394;;281,6;0,152;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;294,4;0,1302;;294,4;0,1337;;294,4;0,1457;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;307,2;0,1245;;307,2;0,1285;;307,2;0,1396;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;320;0,1195;;320;0,1236;;320;0,1343;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;332,8;0,1149;;332,8;0,1191;;332,8;0,1298;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;345,6;0,1105;;345,6;0,1147;;345,6;0,1257;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;358,4;0,1065;;358,4;0,1108;;358,4;0,1219;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;371,2;0,1025;;371,2;0,1071;;371,2;0,1185;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;384;0,09911;;384;0,1036;;384;0,1155;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;396,8;0,09617;;396,8;0,1003;;396,8;0,1126;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;409,6;0,09363;;409,6;0,0973;;409,6;0,1098;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;435,2;0,08874;;435,2;0,09222;;435,2;0,1044;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;460,8;0,08428;;460,8;0,08781;;460,8;0,09922;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;486,4;0,08029;;486,4;0,08386;;486,4;0,09397;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;512;0,0768;;512;0,08026;;512;0,08907;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;537,6;0,07351;;537,6;0,0773;;537,6;0,085;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;563,2;0,07047;;563,2;0,07476;;563,2;0,082;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;588,8;0,06783;;588,8;0,07234;;588,8;0,07997;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;614,4;0,06526;;614,4;0,06983;;614,4;0,0781;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;640;0,06323;;640;0,06751;;640;0,07618;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;665,6;0,06147;;665,6;0,06564;;665,6;0,07456;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;691,2;0,06019;;691,2;0,06411;;691,2;0,07322;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;716,8;0,05884;;716,8;0,06272;;716,8;0,07187;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;742,4;0,05753;;742,4;0,06139;;742,4;0,07035;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;768;0,05619;;768;0,06003;;768;0,06927;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;793,6;0,0552;;793,6;0,0589;;793,6;0,06853;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;819,2;0,05424;;819,2;0,05784;;819,2;0,06786;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;870,4;0,05265;;870,4;0,05618;;870,4;0,06579;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;921,6;0,05102;;921,6;0,05476;;921,6;0,06374;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;972,8;0,04955;;972,8;0,05347;;972,8;0,06225;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1024;0,04871;;1024;0,05241;;1024;0,06133;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1075;0,0484;;1075;0,05176;;1075;0,06087;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1126;0,04836;;1126;0,05143;;1126;0,06031;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1178;0,04775;;1178;0,0513;;1178;0,06007;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1229;0,0467;;1229;0,05087;;1229;0,05988;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1280;0,0457;;1280;0,0503;;1280;0,05989;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1331;0,04509;;1331;0,04989;;1331;0,05971;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1382;0,04464;;1382;0,04935;;1382;0,05969;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1434;0,04393;;1434;0,0489;;1434;0,05969;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1485;0,04315;;1485;0,0483;;1485;0,05979;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1536;0,04233;;1536;0,04795;;1536;0,0597;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1587;0,04168;;1587;0,04788;;1587;0,05965;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1638;0,04123;;1638;0,04756;;1638;0,05958;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1741;0,04098;;1741;0,04675;;1741;0,05865;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1843;0,04123;;1843;0,04557;;1843;0,05733;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1946;0,04186;;1946;0,0448;;1946;0,05632;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2048;0,04202;;2048;0,04402;;2048;0,05629;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2150;0,04224;;2150;0,04364;;2150;0,0563;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2253;0,0419;;2253;0,04352;;2253;0,05553;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2355;0,04094;;2355;0,04346;;2355;0,0549;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2458;0,03948;;2458;0,04306;;2458;0,05412;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2560;0,03826;;2560;0,04286;;2560;0,05366;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2662;0,03803;;2662;0,04292;;2662;0,05273;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2765;0,03816;;2765;0,04302;;2765;0,05314;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2867;0,03838;;2867;0,04242;;2867;0,05328;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2970;0,03845;;2970;0,04154;;2970;0,05268;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3072;0,03798;;3072;0,04054;;3072;0,05136;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3174;0,03748;;3174;0,03997;;3174;0,0509;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3277;0,03705;;3277;0,03972;;3277;0,05151;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3482;0,037;;3482;0,03988;;3482;0,05253;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3686;0,03669;;3686;0,03999;;3686;0,05265;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3891;0,03609;;3891;0,03989;;3891;0,05248;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4096;0,03569;;4096;0,03999;;4096;0,05174;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4301;0,03562;;4301;0,04002;;4301;0,05179;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4506;0,03569;;4506;0,03987;;4506;0,05093;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4710;0,03557;;4710;0,03994;;4710;0,05079;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4915;0,03519;;4915;0,04024;;4915;0,04955;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5120;0,03519;;5120;0,04018;;5120;0,04869;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5325;0,03495;;5325;0,03932;;5325;0,04826;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5530;0,03448;;5530;0,03862;;5530;0,04931;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5734;0,03363;;5734;0,03884;;5734;0,05149;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5939;0,03335;;5939;0,03915;;5939;0,05196;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6144;0,03355;;6144;0,03895;;6144;0,05093;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6349;0,03381;;6349;0,03864;;6349;0,0489;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6554;0,03393;;6554;0,03854;;6554;0,04821;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6963;0,0342;;6963;0,0389;;6963;0,04827;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;7373;0,03456;;7373;0,03887;;7373;0,04864;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;7782;0,03434;;7782;0,03854;;7782;0,0484;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8192;0,03337;;8192;0,03783;;8192;0,04774;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8602;0,03271;;8602;0,03758;;8602;0,04846;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9011;0,03265;;9011;0,03784;;9011;0,04831;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9421;0,0331;;9421;0,03826;;9421;0,04838;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9830;0,03286;;9830;0,03881;;9830;0,04619;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,02E+04;0,03186;;1,02E+04;0,03961;;1,02E+04;0,04542;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,07E+04;0,0311;;1,07E+04;0,0397;;1,07E+04;0,04572;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,11E+04;0,03082;;1,11E+04;0,03943;;1,11E+04;0,04671;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,15E+04;0,03069;;1,15E+04;0,03826;;1,15E+04;0,04827;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,19E+04;0,03053;;1,19E+04;0,03774;;1,19E+04;0,0492;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,23E+04;0,02951;;1,23E+04;0,03769;;1,23E+04;0,04946;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,27E+04;0,02862;;1,27E+04;0,03746;;1,27E+04;0,04828;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,31E+04;0,02805;;1,31E+04;0,03753;;1,31E+04;0,04637;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,39E+04;0,02854;;1,39E+04;0,03685;;1,39E+04;0,04316;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,48E+04;0,02933;;1,48E+04;0,03659;;1,48E+04;0,0412;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,56E+04;0,02892;;1,56E+04;0,03615;;1,56E+04;0,03941;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,64E+04;0,02795;;1,64E+04;0,03645;;1,64E+04;0,03936;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,72E+04;0,02703;;1,72E+04;0,03643;;1,72E+04;0,03889;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,80E+04;0,0269;;1,80E+04;0,03601;;1,80E+04;0,03988;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,88E+04;0,0261;;1,88E+04;0,03507;;1,88E+04;0,04021;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,97E+04;0,02522;;1,97E+04;0,03448;;1,97E+04;0,04043;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,05E+04;0,02381;;2,05E+04;0,03425;;2,05E+04;0,03956;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,13E+04;0,02404;;2,13E+04;0,03412;;2,13E+04;0,03893;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,21E+04;0,02379;;2,21E+04;0,03361;;2,21E+04;0,03755;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,29E+04;0,02381;;2,29E+04;0,03351;;2,29E+04;0,0363;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,38E+04;0,02264;;2,38E+04;0,03295;;2,38E+04;0,03651;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,46E+04;0,02135;;2,46E+04;0,03285;;2,46E+04;0,03766;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,54E+04;0,02061;;2,54E+04;0,03247;;2,54E+04;0,03818;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,62E+04;0,02022;;2,62E+04;0,03227;;2,62E+04;0,03737;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,79E+04;0,02006;;2,79E+04;0,03164;;2,79E+04;0,03641;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,95E+04;0,01909;;2,95E+04;0,03077;;2,95E+04;0,03658;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,11E+04;0,0177;;3,11E+04;0,0303;;3,11E+04;0,03599;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,28E+04;0,01639;;3,28E+04;0,03002;;3,28E+04;0,0348;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,44E+04;0,01557;;3,44E+04;0,03009;;3,44E+04;0,03375;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,60E+04;0,01486;;3,60E+04;0,0292;;3,60E+04;0,03277;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,77E+04;0,01376;;3,77E+04;0,02837;;3,77E+04;0,03255;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,93E+04;0,0123;;3,93E+04;0,02694;;3,93E+04;0,03229;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,10E+04;0,01136;;4,10E+04;0,02625;;4,10E+04;0,03271;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,26E+04;0,01067;;4,26E+04;0,02612;;4,26E+04;0,03197;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,42E+04;0,01016;;4,42E+04;0,02593;;4,42E+04;0,03118;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,59E+04;0,009668;;4,59E+04;0,02558;;4,59E+04;0,03102;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,75E+04;0,009056;;4,75E+04;0,0246;;4,75E+04;0,03144;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,92E+04;0,008262;;4,92E+04;0,0237;;4,92E+04;0,0308;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,08E+04;0,007748;;5,08E+04;0,02296;;5,08E+04;0,03027;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,24E+04;0,007078;;5,24E+04;0,02233;;5,24E+04;0,02898;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,57E+04;0,006322;;5,57E+04;0,0214;;5,57E+04;0,02776;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,90E+04;0,00562;;5,90E+04;0,01995;;5,90E+04;0,02527;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6,23E+04;0,005336;;6,23E+04;0,01874;;6,23E+04;0,02368;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6,55E+04;0,00496;;6,55E+04;0,0174;;6,55E+04;0,02272;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;6,88E+04;0,004326;;6,88E+04;0,01685;;6,88E+04;0,02142;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;7,21E+04;0,003853;;7,21E+04;0,01593;;7,21E+04;0,02041;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;7,54E+04;0,003749;;7,54E+04;0,01468;;7,54E+04;0,01893;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;7,86E+04;0,003675;;7,86E+04;0,0131;;7,86E+04;0,01842;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8,19E+04;0,003549;;8,19E+04;0,01186;;8,19E+04;0,01726;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8,52E+04;0,003264;;8,52E+04;0,01106;;8,52E+04;0,01629;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;8,85E+04;0,00269;;8,85E+04;0,0101;;8,85E+04;0,01491;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9,18E+04;0,002364;;9,18E+04;0,009207;;9,18E+04;0,0138;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9,50E+04;0,002155;;9,50E+04;0,008332;;9,50E+04;0,01253;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;9,83E+04;0,002287;;9,83E+04;0,007896;;9,83E+04;0,0119;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,02E+05;0,002212;;1,02E+05;0,007185;;1,02E+05;0,01118;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,05E+05;0,002248;;1,05E+05;0,00653;;1,05E+05;0,01116;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,11E+05;0,002263;;1,11E+05;0,004994;;1,11E+05;0,01067;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,18E+05;0,002304;;1,18E+05;0,004282;;1,18E+05;0,01037;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,25E+05;0,002195;;1,25E+05;0,004093;;1,25E+05;0,01004;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,31E+05;0,002227;;1,31E+05;0,003977;;1,31E+05;0,009794;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,38E+05;0,002121;;1,38E+05;0,003877;;1,38E+05;0,009447;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,44E+05;0,00224;;1,44E+05;0,003717;;1,44E+05;0,009407;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,51E+05;0,00224;;1,51E+05;0,003933;;1,51E+05;0,009254;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,57E+05;0,00253;;1,57E+05;0,004122;;1,57E+05;0,009773;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,64E+05;0,002519;;1,64E+05;0,004141;;1,64E+05;0,00975;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,70E+05;0,002584;;1,70E+05;0,004094;;1,70E+05;0,01047;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,77E+05;0,002572;;1,77E+05;0,00417;;1,77E+05;0,01041;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,84E+05;0,002648;;1,84E+05;0,004424;;1,84E+05;0,01084;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,90E+05;0,002896;;1,90E+05;0,004474;;1,90E+05;0,01072;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1,97E+05;0,003144;;1,97E+05;0,004526;;1,97E+05;0,01103;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,03E+05;0,003291;;2,03E+05;0,004517;;2,03E+05;0,01078;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,10E+05;0,003393;;2,10E+05;0,004673;;2,10E+05;0,01064;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,23E+05;0,003588;;2,23E+05;0,004908;;2,23E+05;0,01062;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,36E+05;0,003968;;2,36E+05;0,005264;;2,36E+05;0,01061;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,49E+05;0,004074;;2,49E+05;0,005489;;2,49E+05;0,0104;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,62E+05;0,004207;;2,62E+05;0,005705;;2,62E+05;0,00987;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,75E+05;0,004229;;2,75E+05;0,005863;;2,75E+05;0,009753;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;2,88E+05;0,004497;;2,88E+05;0,006155;;2,88E+05;0,009594;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,02E+05;0,004689;;3,02E+05;0,006571;;3,02E+05;0,009374;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,15E+05;0,00493;;3,15E+05;0,006947;;3,15E+05;0,009099;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,28E+05;0,004943;;3,28E+05;0,00731;;3,28E+05;0,008904;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,41E+05;0,004961;;3,41E+05;0,007533;;3,41E+05;0,00903;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,54E+05;0,005033;;3,54E+05;0,007914;;3,54E+05;0,009323;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,67E+05;0,005158;;3,67E+05;0,008195;;3,67E+05;0,01037;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,80E+05;0,005223;;3,80E+05;0,008457;;3,80E+05;0,0113;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;3,93E+05;0,005074;;3,93E+05;0,008524;;3,93E+05;0,01223;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,06E+05;0,004982;;4,06E+05;0,008604;;4,06E+05;0,01265;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,19E+05;0,005036;;4,19E+05;0,008495;;4,19E+05;0,01306;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,46E+05;0,005411;;4,46E+05;0,008468;;4,46E+05;0,01324;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,72E+05;0,00576;;4,72E+05;0,00869;;4,72E+05;0,0129;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;4,98E+05;0,006093;;4,98E+05;0,009107;;4,98E+05;0,01215;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,24E+05;0,006201;;5,24E+05;0,009114;;5,24E+05;0,01121;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,51E+05;0,006299;;5,51E+05;0,008866;;5,51E+05;0,01082;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;5,77E+05;0,005985;;5,77E+05;0,008595;;5,77E+05;0,0107;;;;;;;;;;;;;;;;;;;;;;;
